Годы;Всего;Мужчин;Женщин
1981;67.61;61.53;73.09
1990;69.19;63.73;74.30
1995;64.52;58.12;71.59
2000;65.34;59.03;72.26
2001;65.23;58.92;72.17
2002;64.95;58.68;71.90
2003;64.86;58.56;71.86
2004;65.31;58.91;72.36
2005;65.37;58.92;72.47
2006;66.69;60.43;73.34
2007;67.61;61.46;74.02
2008;67.99;61.92;74.28
2009;68.78;62.87;74.79
2010;68.94;63.09;74.88
2011;69.84;64.06;75.61
2012;70.23;64.56;75.83
2013;70.75;65.14;76.26
2014;70.92;65.31;76.43
2015;71.38;65.95;76.67
2016;71.87;66.54;77.01
2017;72.70;67.56;77.58
2018;72.91;67.82;77.74
2019;73.34;68.33;78.09
2020;71.58;66.65;76.38
2021;70.15;65.69;74.50
2022;72.73;67.57;77.77
2023;73.41;68.04;78.74
