Годы;Браков;Браков на 1000 чел.;Разводов;Разводов на 1000 чел.
1950;1222971;12.0;49378;0.5
1960;1499581;12.5;184398;1.5
1970;1319227;10.1;396589;3.0
1980;1464579;10.6;580720;4.2
1990;1319928;8.9;559918;3.8
1995;1075219;7.3;665904;4.5
2000;897327;6.2;627703;4.3
2001;1001589;6.9;763493;5.3
2002;1019762;7.1;853647;5.9
2003;1091778;7.5;798824;5.5
2004;979667;6.8;635835;4.4
2005;1066366;7.4;604942;4.2
2006;1113562;7.8;640837;4.5
2007;1262500;8.8;685910;4.8
2008;1179007;8.3;703412;4.9
2009;1199446;8.4;699430;4.9
2010;1215066;8.5;639321;4.5
2011;1316011;9.2;669376;4.7
2012;1213598;8.5;644101;4.5
2013;1225501;8.5;667971;4.6
2014;1225985;8.4;693730;4.7
2015;1161068;7.9;611646;4.2
2016;985836;6.7;608336;4.1
2017;1049735;7.1;611436;4.1
2018;893039;6.0;583942;4.0
2019;950167;6.4;620730;4.2
2020;770857;5.2;564704;3.8
2021;923550;6.3;644209;4.4
2022;1053756;7.2;682850;4.7
2023;945995;6.5;683796;4.7
