Годы;до 18;18-24;25-34;35 и более;не указан
1960;5015;949816;320916;223208;626
1970;19227;933308;201485;165041;166
1980;32591;1000767;272157;158944;120
1990;72073;779437;273108;195227;83
1991;81035;746538;253344;196240;75
1992;72697;615119;197645;168177;79
1993;75936;660105;200753;169863;66
1994;69237;638631;200070;172605;57
1995;63633;628329;205549;177655;53
1996;47481;500163;170058;148921;28
1997;43815;540549;188873;155055;119
1998;37016;493365;178447;139743;120
1999;32945;530779;202142;145226;70
2000;29889;511446;212528;143193;271
2001;28438;561093;250614;161208;236
2002;25795;560025;267911;165936;95
2003;26428;596181;297448;171623;98
2004;23428;519606;276317;160167;149
2005;21039;565910;314894;164370;153
2006;19930;589274;339162;165113;83
2007;18657;643038;406664;194053;88
2008;16794;571956;399097;191053;107
2009;14062;559805;428148;197399;32
2010;11698;554772;451318;197162;116
2011;11425;574707;514339;215505;35
2012;10569;496335;492239;214427;28
2013;9695;465626;521289;228879;12
2014;9180;436993;534702;245110;0
2015;8462;400952;513566;238088;0
2016;6825;323582;439084;216345;0
2017;5886;334893;465798;243158;0
2018;4593;285576;386641;216214;15
2019;5141;296984;395684;252276;82
2020;4569;239507;314172;212609;0
2021;4453;289199;360245;269653;0
2022;4059;305038;389597;355062;0
2023;3598;287686;327112;327599;0
