Возраст;Женщины 2017;Мужчины 2017;Женщины 2018;Мужчины 2018;Женщины 2019;Мужчины 2019;Женщины 2020;Мужчины 2020;Женщины 2021;Мужчины 2021;Женщины 2022;Мужчины 2022;Женщины 2023;Мужчины 2023
0-4;4607;5092;3724;4133;4901;5380;3355;3378;6336;6670;7521;8189;5631;6088
5 - 9;5080;5485;3011;3469;4581;5121;3359;3324;6980;7859;6868;7318;5681;6471
10 - 14;3896;4771;2950;3379;4603;4997;3164;3444;6468;7467;5955;6384;5368;5592
15 - 19;7253;10444;5108;6434;9218;13795;2698;1980;10477;16987;8248;11265;6668;7606
20 - 24;10665;16066;6843;6210;15495;23881;3364;-1114;22141;35726;220;-14701;6257;1136
25 - 29;12392;18300;7543;9264;13586;23061;8016;5289;20411;35119;2044;-8781;4013;123
30 - 34;11805;17266;7630;10179;13564;21510;7975;6991;20986;35067;1868;-6329;4404;500
35 - 39;8709;12350;5686;6958;10974;18000;6288;5697;17827;28544;2897;-3795;4086;1793
40 - 44;6594;8642;4317;3764;8182;12950;5073;4229;13871;21697;1671;-2923;3169;1558
45 - 49;5374;6913;3517;2480;7224;10395;4133;2315;12065;16241;3074;-1563;3618;2117
50 - 54;5387;4282;3422;1500;6329;7564;3644;1254;10592;13163;4013;-1014;3608;1968
55 - 59;4649;3881;3489;1846;7171;6527;3887;1291;10704;10285;5418;824;3713;1996
60 - 64;3392;1840;2867;1361;6421;4773;4221;2249;9333;7922;5540;2555;4169;2628
65 - 69;2403;1286;1764;1005;4174;2894;2122;1354;5635;4054;4247;1961;3289;2113
70 и более;2011;516;1181;237;3974;1650;1832;791;4795;2188;3214;1248;3028;1408
