Возраст;2017;2018;2019;2020;2021;2022;2023
0-4;5092;4133;5380;3378;6670;8189;6088
5 - 9;5485;3469;5121;3324;7859;7318;6471
10 - 14;4771;3379;4997;3444;7467;6384;5592
15 - 19;10444;6434;13795;1980;16987;11265;7606
20 - 24;16066;6210;23881;-1114;35726;-14701;1136
25 - 29;18300;9264;23061;5289;35119;-8781;123
30 - 34;17266;10179;21510;6991;35067;-6329;500
35 - 39;12350;6958;18000;5697;28544;-3795;1793
40 - 44;8642;3764;12950;4229;21697;-2923;1558
45 - 49;6913;2480;10395;2315;16241;-1563;2117
50 - 54;4282;1500;7564;1254;13163;-1014;1968
55 - 59;3881;1846;6527;1291;10285;824;1996
60 - 64;1840;1361;4773;2249;7922;2555;2628
65 - 69;1286;1005;2894;1354;4054;1961;2113
70 и более;516;237;1650;791;2188;1248;1408
