Возраст;2017;2018;2019;2020;2021;2022;2023
0-4;4607;3724;4901;3355;6336;7521;5631
5 - 9;5080;3011;4581;3359;6980;6868;5681
10 - 14;3896;2950;4603;3164;6468;5955;5368
15 - 19;7253;5108;9218;2698;10477;8248;6668
20 - 24;10665;6843;15495;3364;22141;220;6257
25 - 29;12392;7543;13586;8016;20411;2044;4013
30 - 34;11805;7630;13564;7975;20986;1868;4404
35 - 39;8709;5686;10974;6288;17827;2897;4086
40 - 44;6594;4317;8182;5073;13871;1671;3169
45 - 49;5374;3517;7224;4133;12065;3074;3618
50 - 54;5387;3422;6329;3644;10592;4013;3608
55 - 59;4649;3489;7171;3887;10704;5418;3713
60 - 64;3392;2867;6421;4221;9333;5540;4169
65 - 69;2403;1764;4174;2122;5635;4247;3289
70 и более;2011;1181;3974;1832;4795;3214;3028
