Возрастные группы;2023, мужчин;2023, женщин;Коэффициент дожития, мужчин;Коэффициент дожития, женщин;Миграция, мужчин;Миграция, женщин
0-4;3532;3332;0.9989;0.9991;35692.5;34640
5-9;4670;4404;0.9998;0.9999;19836.5;34617.5
10-14;4724;4461;0.9998;0.9998;17171.5;31055
15-19;4018;3825;0.9993;0.9996;24647;46812.5
20-24;3850;3589;0.998;0.9996;-4510.5;55902.5
25-29;3749;3634;0.9969;0.9994;-4082.5;56135
30-34;5022;5090;0.9956;0.9989;-1914;57135
35-39;6292;6495;0.9939;0.9983;2583.5;51802.5
40-44;5684;6061;0.9913;0.9973;2432;38857.5
45-49;4977;5506;0.9888;0.9964;4510.5;37840
50-54;4412;4978;0.9868;0.9954;4413.5;36510
55-59;3939;4761;0.982;0.9936;5401.5;40297.5
60-64;4337;5815;0.9739;0.9907;7846;37172.5
65-69;3666;5567;0.9641;0.9861;3577;37170
70 и более;5045;10716;0.9304;0.9425;896;9292.5
