Годы;Численность населения на 1 января
1991;148.2737
1992;148.5147
1993;148.5617
1994;148.3559
1995;148.4599
1996;148.2916
1997;148.0286
1998;147.8021
1999;147.5394
2000;146.8901
2001;146.3036
2002;145.6493
2003;144.9636
2004;144.3336
2005;143.8010
2006;143.2366
2007;142.8627
2008;142.7475
2009;142.7372
2010;142.8335
2011;142.8654
2012;143.0564
2013;143.3471
2014;143.6669
2015;146.2673
2016;146.5447
2017;146.8044
2018;146.8804
2019;146.7807
2020;146.7486
2021;146.1710
2022;145.5575
2023;146.4474
2024;146.1508
2025;146.1199
